Rank,Game_Career,Game_Team,Week,Date,Team,Opponent,GS,Completions,Attempts,Completion_Pct,Pass_Yds,Pass_TD,INT,Yards_per_Attempt,Adj_Yards_per_Attempt,Passer_Rating,Sacks,Sack_Yards,Rush_Att,Rush_Yds,Rush_TD,Yards_per_Rush,Fumbles,Fantasy_Points,Season,QB
1.0,1.0,5.0,5,2005-10-09,GB,NO,,1,1,100.0,0,0,0,0.0,0.0,79.2,0,0.0,0,0,0,,0,0.0,2005,Aaron Rodgers
2.0,2.0,14.0,15,2005-12-19,GB,BAL,,8,15,53.3,65,0,1,4.3,1.33,36.8,3,28.0,1,8,0,8.0,2,-2.5999999999999996,2005,Aaron Rodgers
3.0,3.0,16.0,17,2006-01-01,GB,SEA,,0,0,,0,0,0,,,,0,,1,-1,0,-1.0,0,-0.1,2006,Aaron Rodgers
4.0,4.0,4.0,4,2006-10-02,GB,PHI,,2,3,66.7,14,0,0,4.7,4.67,77.1,0,0.0,0,0,0,,0,0.56,2006,Aaron Rodgers
5.0,5.0,10.0,11,2006-11-19,GB,NE,,4,12,33.3,32,0,0,2.7,2.67,42.4,3,18.0,2,11,0,5.5,1,0.3799999999999999,2006,Aaron Rodgers
6.0,6.0,9.0,10,2007-11-11,GB,MIN,,2,2,100.0,17,0,0,8.5,8.5,102.1,0,0.0,2,-1,0,-0.5,0,0.5800000000000001,2007,Aaron Rodgers
7.0,7.0,12.0,13,2007-11-29,GB,DAL,,18,26,69.2,201,1,0,7.7,8.5,104.8,3,24.0,5,30,0,6.0,0,15.04,2007,Aaron Rodgers
8.0,8.0,1.0,1,2008-09-08,GB,MIN,*,18,22,81.8,178,1,0,8.1,9.0,115.5,0,0.0,8,35,1,4.4,1,18.62,2008,Aaron Rodgers
9.0,9.0,2.0,2,2008-09-14,GB,DET,*,24,38,63.2,328,3,0,8.6,10.21,117.0,1,4.0,4,25,0,6.3,2,23.619999999999997,2008,Aaron Rodgers
10.0,10.0,3.0,3,2008-09-21,GB,DAL,*,22,39,56.4,290,0,0,7.4,7.44,80.1,5,40.0,5,10,1,2.0,1,16.6,2008,Aaron Rodgers
11.0,11.0,4.0,4,2008-09-28,GB,TB,*,14,27,51.9,165,2,3,6.1,2.59,55.9,3,18.0,2,8,0,4.0,0,9.4,2008,Aaron Rodgers
12.0,12.0,5.0,5,2008-10-05,GB,ATL,*,25,37,67.6,313,3,1,8.5,8.86,109.4,2,9.0,2,4,0,2.0,0,22.919999999999998,2008,Aaron Rodgers
13.0,13.0,6.0,6,2008-10-12,GB,SEA,*,21,30,70.0,208,2,0,6.9,8.27,111.5,2,8.0,6,23,1,3.8,1,22.62,2008,Aaron Rodgers
14.0,14.0,7.0,7,2008-10-19,GB,IND,*,21,28,75.0,186,1,0,6.6,7.36,104.2,0,0.0,3,8,0,2.7,0,12.240000000000002,2008,Aaron Rodgers
15.0,15.0,8.0,9,2008-11-02,GB,TEN,*,22,41,53.7,314,1,1,7.7,7.05,76.7,4,26.0,2,11,0,5.5,1,13.660000000000004,2008,Aaron Rodgers
16.0,16.0,9.0,10,2008-11-09,GB,MIN,*,15,26,57.7,142,0,0,5.5,5.46,72.9,4,32.0,1,1,0,1.0,1,3.7799999999999994,2008,Aaron Rodgers
17.0,17.0,10.0,11,2008-11-16,GB,CHI,*,23,30,76.7,227,2,1,7.6,7.4,105.8,0,0.0,1,1,0,1.0,0,15.18,2008,Aaron Rodgers
18.0,18.0,11.0,12,2008-11-24,GB,NO,*,23,41,56.1,248,2,3,6.0,3.73,59.8,2,14.0,8,36,1,4.5,1,19.520000000000003,2008,Aaron Rodgers
19.0,19.0,12.0,13,2008-11-30,GB,CAR,*,29,45,64.4,298,3,1,6.6,6.96,96.3,2,5.0,5,26,0,5.2,0,24.520000000000003,2008,Aaron Rodgers
20.0,20.0,13.0,14,2008-12-07,GB,HOU,*,19,30,63.3,295,2,1,9.8,9.67,104.2,2,16.0,1,4,0,4.0,0,18.2,2008,Aaron Rodgers
21.0,21.0,14.0,15,2008-12-14,GB,JAX,*,20,32,62.5,278,1,1,8.7,7.91,87.8,3,24.0,5,22,0,4.4,1,13.32,2008,Aaron Rodgers
22.0,22.0,15.0,16,2008-12-22,GB,CHI,*,24,39,61.5,260,2,1,6.7,6.54,87.6,0,0.0,2,-6,0,-3.0,0,15.799999999999997,2008,Aaron Rodgers
23.0,23.0,16.0,17,2008-12-28,GB,DET,*,21,31,67.7,308,3,0,9.9,11.87,132.2,4,35.0,1,-1,0,-1.0,1,22.22,2008,Aaron Rodgers
24.0,24.0,1.0,1,2009-09-13,GB,CHI,*,17,28,60.7,184,1,0,6.6,7.29,92.0,4,34.0,3,7,0,2.3,0,12.059999999999999,2009,Aaron Rodgers
25.0,25.0,2.0,2,2009-09-20,GB,CIN,*,21,39,53.8,261,1,0,6.7,7.21,83.4,6,39.0,4,43,0,10.8,1,16.74,2009,Aaron Rodgers
26.0,26.0,3.0,3,2009-09-27,GB,STL,*,13,23,56.5,269,2,0,11.7,13.43,126.9,2,19.0,8,38,1,4.8,0,28.56,2009,Aaron Rodgers
27.0,27.0,4.0,4,2009-10-05,GB,MIN,*,26,37,70.3,384,2,1,10.4,10.24,110.6,8,42.0,2,16,0,8.0,1,20.96,2009,Aaron Rodgers
